OSS;MATRICOLA;CODICE_COMPAGNIA;RAGIONE_SOCIALE
21261;A000433418;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21262;A000433418;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21263;A000433727;A135S;VITTORIA ASSICURAZIONI S.P.A.
21264;A000433826;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
21265;A000433841;40646;EUROHERC OSIGURANJE D.D.
21266;A000433841;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
21267;A000433841;A337S;NOBIS VITA S.P.A.
21268;A000433841;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
21269;A000433841;A499S;QUIXA ASSICURAZIONI S.P.A.
21270;A000433841;C399R;INTER PARTNER ASSISTANCE SA
21271;A000433841;D969R;ADRIATIC OSIGURANJE D.D.
21272;A000433842;A123M;SOCIETA' REALE MUTUA DI ASSICURAZIONI
21273;A000433858;A342S;UNISALUTE S.P.A.
21274;A000433858;A505S;UNIPOL ASSICURAZIONI S.P.A.
21275;A000434006;A342S;UNISALUTE S.P.A.
21276;A000434006;A505S;UNIPOL ASSICURAZIONI S.P.A.
21277;A000434063;A044S;GENERALI ITALIA S.P.A.
21278;A000434070;A044S;GENERALI ITALIA S.P.A.
21279;A000434070;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21280;A000434070;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21281;A000435250;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
21282;A000435261;A135S;VITTORIA ASSICURAZIONI S.P.A.
21283;A000435308;A044S;GENERALI ITALIA S.P.A.
21284;A000435308;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21285;A000435308;A390S;EUROP ASSISTANCE ITALIA S.P.A.
21286;A000435310;A484S;TUTELA LEGALE S.P.A.
21287;A000435310;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
21288;A000435345;A037S;AXA ASSICURAZIONI S.P.A.
21289;A000435345;C399R;INTER PARTNER ASSISTANCE SA
21290;A000435345;D870R;AXA LIFE EUROPE DAC
21291;A000435345;D909R;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA
21292;A000435346;A044S;GENERALI ITALIA S.P.A.
21293;A000435346;A142S;D.A.S. DIFESA AUTOMOBILISTICA SINISTRI - S.P.A. DI ASSICURAZIONE
21294;A000435366;A055X;HDI ASSICURAZIONI S.P.A.
21295;A000435366;A339S;CNP VITA ASSICURA S.P.A.
21296;A000435366;A463S;ALLIANZ SOCIETA' PER AZIONI
21297;A000435829;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
21298;A000435829;A294S;SARA VITA S.P.A.
21299;A000435918;A044S;GENERALI ITALIA S.P.A.
21300;A000435918;A463S;ALLIANZ SOCIETA' PER AZIONI
21301;A000435948;A055X;HDI ASSICURAZIONI S.P.A.
21302;A000435948;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
21303;A000436072;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
21304;A000436072;A294S;SARA VITA S.P.A.
21305;A000436188;A342S;UNISALUTE S.P.A.
21306;A000436188;A505S;UNIPOL ASSICURAZIONI S.P.A.
21307;A000436233;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
21308;A000436233;A294S;SARA VITA S.P.A.
21309;A000436237;A327S;ASSICURATRICE MILANESE SPA - COMPAGNIA DI ASSICURAZIONI
21310;A000436237;A463S;ALLIANZ SOCIETA' PER AZIONI
21311;A000436237;D891R;AWP P&C S.A.
21312;A000436253;A105S;SARA ASSICURAZIONI S.P.A. ASSICURATRICE UFFICIALE DELL'AUTOMOBILE CLUB D'ITALIA
21313;A000436253;A294S;SARA VITA S.P.A.
21314;A000436255;A071S;ALLIANZ DIRECT SOCIETÀ PER AZIONI
21315;A000436255;A463S;ALLIANZ SOCIETA' PER AZIONI
21316;A000436255;D878R;ALLIANZ GLOBAL LIFE DAC
21317;A000436255;D891R;AWP P&C S.A.
21318;A000436275;A463S;ALLIANZ SOCIETA' PER AZIONI
21319;A000436330;A498S;BENE ASSICURAZIONI S.P.A. SOCIETÀ BENEFIT
